,vol_dHP,vol_dBP,vol_dEE,vol_resid,ac1_resid,coup_dHP_dEE,coup_dBP_dEE,coup_dHP_dresid
2025-09-01 23:00:00,,,,,,,,
2025-09-01 23:15:00,,,,,,,,
2025-09-01 23:30:00,,,,,,,,
2025-09-01 23:45:00,,,,,,,,
2025-09-02 00:00:00,,,,,,,,
2025-09-02 00:15:00,,,,,,,,
2025-09-02 00:30:00,,,,,,,,
2025-09-02 00:45:00,,,,,,,,
2025-09-02 01:00:00,,,,,,,,
2025-09-02 01:15:00,,,,,,,,
2025-09-02 01:30:00,,,,,,,,
2025-09-02 01:45:00,,,,,,,,
2025-09-02 02:00:00,,,,,,,,
2025-09-02 02:15:00,,,,,,,,
2025-09-02 02:30:00,,,,,,,,
2025-09-02 02:45:00,,,,,,,,
2025-09-02 03:00:00,,,,,,,,
2025-09-02 03:15:00,,,,,,,,
2025-09-02 03:30:00,,,,,,,,
2025-09-02 03:45:00,,,,,,,,
2025-09-02 04:00:00,,,,,,,,
2025-09-02 04:15:00,,,,,,,,
2025-09-02 04:30:00,,,,,,,,
2025-09-02 04:45:00,,,,,0.26399250436019683,,,
2025-09-02 05:00:00,0.3374160000000046,0.7924201000000011,0.21080839999999768,0.1740228629305136,0.2846542980477089,0.05600638690285244,-0.5111120472579481,-0.24634514651652714
2025-09-02 05:15:00,0.34799300000000244,0.7987899000000027,0.2143567000000033,0.1877539053981252,0.24927765361552276,0.08502123887611715,-0.4804526059525823,-0.2005548751749576
2025-09-02 05:30:00,0.35298599999998714,0.8420562499999953,0.20990809999999982,0.18554040178430142,0.2529297615789233,0.08485358181481063,-0.47067108416181425,-0.19717725994702912
2025-09-02 05:45:00,0.3401279999999929,0.7987899000000027,0.20583459999999576,0.18151669308247875,0.2594056342765842,0.08581820416849913,-0.4690078895161813,-0.197194066619628
2025-09-02 06:00:00,0.3253224999999986,0.7924201000000011,0.20990809999999982,0.18554040178430142,0.27474570176566365,0.039345455924099076,-0.502773207178561,-0.23117766467133044
2025-09-02 06:15:00,0.3401279999999929,0.8881148999999908,0.2143567000000033,0.18332689817047765,0.23374930090047866,0.02145039371973908,-0.5228044981134216,-0.23452243363190917
2025-09-02 06:30:00,0.3130999999999915,0.7924201000000011,0.21506945000000144,0.18732677130844877,0.19974870873493625,0.025610010760560888,-0.5322002964589387,-0.21904930516319224
2025-09-02 06:45:00,0.26822100000001114,0.8611945999999975,0.2157821999999996,0.1913266444464199,0.20887768378888463,0.01717251570990449,-0.5432951834373789,-0.22332638378502193
2025-09-02 07:00:00,0.24699449999999956,0.8370990999999961,0.21506945000000144,0.18732677130844877,0.2143996892545845,0.018722730702531023,-0.5372557825351709,-0.22045562394433751
2025-09-02 07:15:00,0.2620250000000226,0.8474376000000063,0.21398160000000388,0.18332689817047765,0.21909294983221098,0.03124070697716354,-0.5347806237822352,-0.22768717377602396
2025-09-02 07:30:00,0.30075899999999933,0.8299465000000019,0.20418674999999809,0.18732677130844877,0.22431203507579406,0.012213948911446493,-0.5370333973244302,-0.2646010474058358
2025-09-02 07:45:00,0.2620250000000226,0.7959975999999997,0.21398160000000388,0.1913266444464199,0.21326208178339498,0.0021671976510239718,-0.5325414282091319,-0.2697228747678205
2025-09-02 08:00:00,0.24699449999999956,0.8273043999999992,0.20990809999999982,0.18732677130844877,0.2104957164450051,0.0022676534030995088,-0.5180468129506859,-0.2721346196910582
2025-09-02 08:15:00,0.23254600000001346,0.8474376000000063,0.20583459999999576,0.18332689817047765,0.21834483098645532,0.0021971414654470616,-0.5135195812177569,-0.27067021815192605
2025-09-02 08:30:00,0.2388610000000142,0.8794659500000037,0.21080839999999768,0.18254720787890122,0.18352816649272777,-0.02459398599143501,-0.5336516845947145,-0.28603286928743854
2025-09-02 08:45:00,0.23254600000001346,0.8340928000000076,0.20583459999999576,0.1913266444464199,0.18870650475934372,-0.029538643944171092,-0.5231883370482444,-0.2879907957848014
2025-09-02 09:00:00,0.2388610000000142,0.8273043999999992,0.20197089999999562,0.18254720787890122,0.19087798801473915,-0.0265319055264655,-0.5212890656779697,-0.28698077417708556
2025-09-02 09:15:00,0.23254600000001346,0.8205159999999907,0.1984822999999949,0.18017157704034048,0.19485806082495422,-0.023621022355687967,-0.5203323149132731,-0.2849002289509252
2025-09-02 09:30:00,0.2309345000000178,0.7613972000000047,0.19117599999999513,0.17037041973391354,0.19956038850076635,-0.023352326751150548,-0.5195521589418108,-0.2844691862125429
2025-09-02 09:45:00,0.22576799999998798,0.804198300000003,0.18424479999999477,0.16759597275285643,0.20220785404825312,-0.019879068070006244,-0.5210813002533944,-0.28492710435886576
2025-09-02 10:00:00,0.23799999999999955,0.8090199000000027,0.1921048999999968,0.17037041973391354,0.18673889081920625,0.0842346756728944,-0.4975498684377457,-0.3449755488224952
2025-09-02 10:15:00,0.25039699999999243,0.8205159999999907,0.19996499999999884,0.17165950920286832,0.2524269538403021,0.7456972946079236,0.3068598495719071,-0.28046805447491446
2025-09-02 10:30:00,0.24828450000001112,0.8273043999999992,0.2028997999999973,0.18096954731383263,0.2633636694916749,0.8667857432714905,0.5454486744249746,-0.37938177525540895
2025-09-02 10:45:00,0.2461720000000298,0.8340928000000076,0.20583459999999576,0.17165950920286832,0.2699224988537638,0.8646579268352143,0.5041871247645394,-0.37849624791419795
2025-09-02 11:00:00,0.24699449999999956,0.8794659500000037,0.20990809999999982,0.17658810114267354,0.2815655639798633,0.8640538149409025,0.4934519296945433,-0.3773694569630428
2025-09-02 11:15:00,0.2519540000000404,0.8340928000000076,0.20545949999999635,0.18151669308247875,0.30011972209414506,0.8640444532548908,0.4933760863974051,-0.37708641545528854
2025-09-02 11:30:00,0.24699449999999956,0.8273043999999992,0.19737444999999454,0.1694653171899141,0.3279190212811885,0.8638035802886392,0.4930558916213873,-0.37747124284163264
2025-09-02 11:45:00,0.2519540000000404,0.7959975999999997,0.1981071999999955,0.18151669308247875,0.3366636151491071,0.8629670487360638,0.49360161295361243,-0.3764357525809486
