regime,status,n_train,n_calib,d,p,n_train_clean,thr_Q_time,thr_Q_space,thr_T2_time,thr_T2_space,far_calib,far_test
0,modeled,1945,417,1,2,1601,27.7583,5.4177,6.3421,11.8694,0.0144,0.6579
1,modeled,268,57,1,2,168,50.4751,3.5893,6.3965,15.605,0.0,0.0517
2,modeled,200,42,1,1,156,2.5199,5.367,2.4073,2.5027,0.0,0.25
3,modeled,243,52,1,2,169,53.5291,1.2783,3.1769,6.7247,0.0,0.4151
