,EE,EE_pred,resid,resid_pct
2025-01-01 01:00:00,41.3950081,43.10295228368987,-1.7079441836898752,-3.962476102445911
2025-01-01 01:15:00,41.1558456,42.96047064326292,-1.8046250432629236,-4.200664043576826
2025-01-01 01:30:00,41.1434822,42.94958182036387,-1.8060996203638666,-4.205162294519787
2025-01-01 01:45:00,41.0559578,42.90771518730718,-1.851757387307181,-4.315674650173314
2025-01-01 02:00:00,41.118576,42.84625729564765,-1.7276812956476562,-4.03228054139318
2025-01-01 02:15:00,41.2610359,43.00049407561263,-1.7394581756126257,-4.045205091257649
2025-01-01 02:30:00,41.1614571,42.854571495693634,-1.6931143956936339,-3.950837300668778
2025-01-01 02:45:00,41.1063576,42.954464934079475,-1.8481073340794723,-4.302480165718953
2025-01-01 03:00:00,41.04853,43.04347305591447,-1.9949430559144687,-4.634716750953139
2025-01-01 03:15:00,41.1982574,42.75679508007727,-1.558537680077265,-3.645122786117038
2025-01-01 03:30:00,40.8736572,42.93265415108437,-2.0589969510843744,-4.795876220087757
2025-01-01 03:45:00,40.95769,43.041029550552274,-2.0833395505522745,-4.84035714830047
2025-01-01 04:00:00,40.9762154,42.97497899325741,-1.998763593257408,-4.650993764467007
2025-01-01 04:15:00,41.0030327,42.994784158488294,-1.9917514584882952,-4.632542057069663
2025-01-01 04:30:00,40.95795,43.010423899710396,-2.0524738997103995,-4.772038295870456
2025-01-01 04:45:00,40.8675041,42.730466765465394,-1.8629626654653961,-4.359799474437372
2025-01-01 05:00:00,41.0234032,42.89468452028458,-1.8712813202845808,-4.36250165075737
2025-01-01 05:15:00,40.9391327,42.66662870716324,-1.7274960071632393,-4.048822368928371
2025-01-01 05:30:00,40.83055,42.88646023371366,-2.0559102337136608,-4.793844543265616
2025-01-01 05:45:00,40.89325,42.876651020379015,-1.983401020379013,-4.625830080423759
2025-01-01 06:00:00,41.1636238,42.971827924550006,-1.8082041245500022,-4.207882726619983
2025-01-01 06:15:00,41.2382622,43.11009384538013,-1.8718316453801265,-4.341979982910012
2025-01-01 06:30:00,40.8099632,43.04922626057482,-2.239263060574821,-5.201633699571447
2025-01-01 06:45:00,41.09017,42.91417721878022,-1.824007218780217,-4.2503604565951925
2025-01-01 07:00:00,41.1303673,43.115501712975195,-1.9851344129751922,-4.604224314007658
2025-01-01 07:15:00,41.0651779,43.026311782928964,-1.9611338829289622,-4.557987430628572
2025-01-01 07:30:00,41.269146,43.17689174423349,-1.9077457442334875,-4.418441594949404
2025-01-01 07:45:00,41.0747948,43.035876682202534,-1.961081882202535,-4.556853568207987
2025-01-01 08:00:00,41.11853,42.989946955408854,-1.8714169554088542,-4.353150184972254
2025-01-01 08:15:00,41.0003281,43.11775120138574,-2.1174231013857394,-4.910792057535897
2025-01-01 08:30:00,41.1441574,43.0232169092209,-1.8790595092209017,-4.36754767358685
