,vol_dHP,vol_dBP,vol_dEE,vol_resid,ac1_resid,coup_dHP_dEE,coup_dBP_dEE,coup_dHP_dresid
2025-01-01 01:00:00,,,,,,,,
2025-01-01 01:15:00,,,,,,,,
2025-01-01 01:30:00,,,,,,,,
2025-01-01 01:45:00,,,,,,,,
2025-01-01 02:00:00,,,,,,,,
2025-01-01 02:15:00,,,,,,,,
2025-01-01 02:30:00,,,,,,,,
2025-01-01 02:45:00,,,,,,,,
2025-01-01 03:00:00,,,,,,,,
2025-01-01 03:15:00,,,,,,,,
2025-01-01 03:30:00,,,,,,,,
2025-01-01 03:45:00,,,,,,,,
2025-01-01 04:00:00,,,,,,,,
2025-01-01 04:15:00,,,,,,,,
2025-01-01 04:30:00,,,,,,,,
2025-01-01 04:45:00,,,,,,,,
2025-01-01 05:00:00,,,,,,,,
2025-01-01 05:15:00,,,,,,,,
2025-01-01 05:30:00,,,,,,,,
2025-01-01 05:45:00,,,,,,,,
2025-01-01 06:00:00,,,,,,,,
2025-01-01 06:15:00,,,,,,,,
2025-01-01 06:30:00,,,,,,,,
2025-01-01 06:45:00,,,,,0.0590942403511652,,,
2025-01-01 07:00:00,0.48804000000001224,1.183320000000002,0.08897844999999904,0.11437379186927288,0.04851835560345257,0.10366731598057168,0.032155605513045325,-0.49359264129589697
2025-01-01 07:15:00,0.5126120000000185,1.2538299999999936,0.07808250000000072,0.09289461211405126,0.059807581056287536,0.1178629769255737,0.04806134779249586,-0.48303612945028884
2025-01-01 07:30:00,0.5321924999999936,1.3231230000000025,0.08897844999999904,0.09062840843395747,0.06101673854282776,0.18660186487278788,0.09021695060135915,-0.44105923715843687
2025-01-01 07:45:00,0.573900999999978,1.1811540000000065,0.08700179999999591,0.0883622047538637,0.06284780493155023,0.21777184541218306,0.0840362074331207,-0.42614514618567484
2025-01-01 08:00:00,0.5712855000000019,1.1053210000000036,0.08897844999999904,0.09062840843395747,0.05923612639140677,0.21744093434814651,0.08986668069361942,-0.42409876827947285
2025-01-01 08:15:00,0.5126120000000185,1.1128100000000103,0.08700179999999591,0.09289461211405126,0.04955530954928244,0.19833302462746585,0.09822131715582777,-0.4382517489615276
2025-01-01 08:30:00,0.5300395000000151,1.1238430000000008,0.09206615000000085,0.09317289318336464,0.038296232915352946,0.16842216347987038,0.09084573117046374,-0.4543564424074913
2025-01-01 08:45:00,0.5118249999999875,1.1348759999999913,0.08721540000000516,0.09798358161286558,0.03080638983020742,0.17046573292129966,0.10710066813122654,-0.4390449034026105
2025-01-01 09:00:00,0.501616999999996,1.1238430000000008,0.09809335000000274,0.11176712518666676,0.02267126898330588,0.16640178936271438,0.12905932161388048,-0.4309251721591857
