t_end,regime,status,window_flag,score_Q_time,score_Q_space,score_T2_time,score_T2_space,reason_codes
2025-01-01 04:45:00,1,warning,True,17.73544096813125,6.778945058474646,3.3710054265293765,6.310814950196241,Q_time_high
2025-01-01 06:45:00,1,normal,False,9.845801693041766,7.207322524825449,3.3447175800232887,9.32329206593111,
2025-01-01 08:45:00,1,warning,True,54.81844354642695,15.599394077121406,10.790012012166313,3.6405757436061825,"Q_time_high,Q_space_high"
2025-01-01 10:45:00,1,warning,True,38.36311135265849,28.5284665182211,4.660935972465005,3.4381858299900983,"Q_time_high,Q_space_high"
2025-01-01 12:45:00,1,warning,True,8.439272561382632,35.47382936519347,3.334235698456945,6.121071896766101,Q_space_high
2025-01-01 14:45:00,1,warning,True,7.845525178512163,26.021516422174972,3.2407616921150275,5.365691208423807,Q_space_high
2025-01-01 16:45:00,1,normal,False,2.344473318209425,12.812653018539761,2.26839050888362,3.7855418943569936,
2025-01-01 18:45:00,1,normal,False,0.885922543254314,9.882385133979584,2.1737234009262876,3.487777957966394,
2025-01-01 20:45:00,1,normal,False,4.689523661523026,8.525868198107807,5.34494007211206,3.002937832388911,
2025-01-01 22:45:00,1,normal,False,12.41282990412017,5.300566504578828,2.018032316610152,1.4733065203034026,
2025-01-02 00:45:00,1,normal,False,1.4108242257535455,4.925928238763196,1.4300158900090192,1.2391020415713585,
2025-01-02 02:45:00,1,normal,False,5.113015638698164,5.055096492146943,1.8545627408072978,1.2745089200633684,
2025-01-02 04:45:00,1,normal,False,6.2249429218365835,3.9791173257228594,1.363286927897173,2.7234013478934735,
2025-01-04 15:30:00,1,normal,False,4.47543907398437,2.994231471240192,0.6690552134905557,0.7904069023588055,
2025-01-04 17:30:00,1,normal,False,3.3565950282923196,3.3103213420664437,4.981814242817908,1.8562486521056272,
2025-01-04 19:30:00,1,normal,False,10.301452381265307,2.422339142300308,1.1399612623911692,1.3528512907834922,
2025-01-04 21:30:00,1,normal,False,7.952668732807196,2.625017904414768,2.3661949748803455,1.1844163711550828,
2025-01-06 18:00:00,4,normal,False,3.9818607840302374,10.869859177502715,4.337940154186855,5.826319891298796,
2025-01-07 14:00:00,1,normal,False,7.268884811625536,1.791437932482214,1.1684400465265778,2.7406144383933784,
2025-01-08 16:00:00,1,normal,False,11.869178495280792,0.12937574222643602,3.600144580197703,2.6697539642136445,
2025-01-08 18:00:00,1,normal,False,3.3337846588774864,0.05904629974858526,2.068628382235084,2.3907315223391152,
2025-01-08 20:00:00,1,normal,False,3.7412454217396838,0.03210351588148557,2.0935572493551082,2.4458899072183287,
2025-01-08 22:00:00,1,normal,False,1.9479672548499132,0.022757388331088008,2.7041524487568873,2.5528958995029285,
2025-01-09 00:00:00,1,normal,False,1.9317456343927109,0.031034907440083158,2.8863105744642112,2.5468980484915607,
2025-01-09 02:00:00,1,normal,False,2.598783971931253,0.07625722597041416,2.466596720135819,2.547345070110299,
2025-01-09 04:00:00,1,normal,False,4.116475892229667,0.033514017673297994,1.8459269493172497,2.2347206922305065,
2025-01-09 06:00:00,1,normal,False,2.9019012437581737,0.015762258929172428,2.3526248210285186,2.211654523218525,
2025-01-09 08:00:00,1,normal,False,2.682390493661316,0.006949727290822381,2.3459584660232995,2.2473616225577406,
2025-01-09 10:00:00,1,normal,False,3.0606647104266047,0.04738628196131381,2.1091737588724118,2.2680720829207743,
2025-01-09 12:00:00,1,normal,False,2.2477796482449133,0.108473183566383,2.574154048363366,2.466897597607754,
2025-01-09 14:00:00,1,normal,False,3.012918877038355,0.07347181296120914,2.5901423704409594,2.5414368033761963,
2025-01-09 16:00:00,1,normal,False,5.35054836505594,0.13117655123006444,1.6134579202672523,1.6794838929981488,
2025-01-09 18:00:00,1,normal,False,4.9119645306935595,0.07914106812974091,1.123214810263447,1.6608695625248049,
2025-01-09 20:00:00,1,normal,False,12.314309249013213,1.4758203264278054,10.09242683738473,2.3507805410632328,
2025-01-09 22:00:00,1,warning,True,29.990495354894026,4.587139847844586,5.382599249424304,1.3038782440006151,Q_time_high
2025-01-10 00:00:00,1,normal,False,13.605146688055903,5.51913067012209,6.208218062768026,4.142800269301375,
2025-01-10 09:00:00,1,normal,False,8.24892789616895,8.584833755766704,1.4067577199102026,1.6547071432402616,
2025-01-10 11:00:00,1,normal,False,4.028787989656651,9.312395743324469,1.74206423797581,1.8612927316187085,
2025-01-10 13:00:00,1,normal,False,3.270160873188124,7.641784315404312,1.4028489040427468,1.3809424105682875,
2025-01-10 15:00:00,1,normal,False,3.2716549913924,6.40829484393016,1.1208274542288545,1.0089941516322725,
2025-01-10 17:00:00,1,normal,False,3.8144888812183786,5.223688922462165,1.178961414368268,0.9731994776325221,
2025-01-10 19:00:00,1,normal,False,2.632076177326609,4.6998047651875305,1.3361793660280148,0.9751452127304485,
2025-01-10 21:00:00,1,normal,False,4.5747345878888375,5.003657753093998,0.9221728826849657,0.945136246257633,
2025-01-10 23:00:00,1,normal,False,5.746361916682896,6.088194909861083,1.0471214467421255,1.1186382280154301,
2025-01-11 01:00:00,1,normal,False,4.858636258718812,7.265639542840528,1.3288268638526746,1.3584715032438959,
2025-01-11 12:45:00,4,normal,False,5.261937899430521,0.4780531709706534,0.2718893450500133,1.7212108351125226,
