,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1,Admission_HP_GTA_JFC2,Soutirage_BP_GTA_JFC2,Prod_EE_GTA_JFC2,Admission_HP_GTA_JFC3,Soutirage_MP_GTA_JFC3,Soutirage_BP_GTA_JFC3,Prod_EE_GTA_JFC3,Admission_HP_GTA_JFC4,Soutirage_BP_GTA_JFC4,Prod_EE_GTA_JFC4
30,2025-01-01 08:30:00,185.221039,49.4753227,,183.383423,14.5662174,40.66165,178.193283,8.930391449999998e-17,40.6851044,35.1379738,183.882874,109.705971,41.1441574
31,2025-01-01 08:45:00,184.208023,49.36622,,183.525177,9.86506748,40.6646576,178.312759,8.930391449999998e-17,40.7167358,35.1204262,183.779892,109.046257,40.9214134
32,2025-01-01 09:00:00,183.214813,48.3040352,,183.0673,6.05012226,40.5423279,177.355118,8.930391449999998e-17,41.1593,34.94992,183.756668,110.266006,41.07845
33,2025-01-01 09:15:00,183.755325,48.6532326,,183.196,5.568765,40.81338,178.220245,8.930391449999998e-17,41.4733734,34.932354,183.411026,110.3947,41.0712547
34,2025-01-01 09:30:00,185.2894,49.3456764,,183.295212,7.382638,40.6734161,178.84108,8.930391449999998e-17,41.8505363,35.14284,184.303391,110.755432,41.154808
35,2025-01-01 09:45:00,185.840225,49.5006638,,183.071884,1.910376e-08,40.7187,178.513428,8.930391449999998e-17,43.3501625,34.83202,183.909851,110.562271,41.0987434
36,2025-01-01 10:00:00,184.1649,49.02688,,183.463409,8.583412,40.73394,179.228516,8.930391449999998e-17,42.1633148,35.1108131,184.704788,113.560631,41.1200371
37,2025-01-01 10:15:00,186.985519,50.648407,,183.551834,13.8133535,40.3660355,179.042282,8.930391449999998e-17,41.0825844,35.127758,184.75618,113.885612,41.2998047
38,2025-01-01 10:30:00,184.343781,49.3457947,,183.4419,13.4452505,40.3734245,180.128845,8.930391449999998e-17,40.72316,35.3964043,184.3668,117.087486,41.0762138
39,2025-01-01 10:45:00,187.253021,50.8523865,,183.498413,10.937438,40.47275,178.130951,8.930391449999998e-17,39.58663,35.37583,184.135315,117.109657,41.17291
40,2025-01-01 11:00:00,186.893524,50.5316658,,183.636383,7.494543,40.629055,182.759186,8.930391449999998e-17,40.512764,35.857605,186.656845,120.123955,41.4278336
41,2025-01-01 11:15:00,190.298126,51.626358,,183.677475,5.85052252,40.681488,183.214523,8.930391449999998e-17,40.8996353,35.9457474,186.664139,120.704781,41.3768272
42,2025-01-01 11:30:00,185.954666,49.988205,,183.611191,7.037985,40.7294044,181.520279,9.161851e-17,41.6210327,35.9105377,185.8974,118.616089,41.36438
43,2025-01-01 11:45:00,184.3702,49.1463737,,183.37442,4.89350924e-15,40.70683,180.682266,2.27873254,45.8412933,35.0102539,185.525269,122.180313,41.0937538
44,2025-01-01 12:00:00,190.084045,51.5642,,183.550278,2.41570779e-16,40.8111877,183.699249,2.18542719,46.527935,35.582798,186.237869,122.532036,41.44446
45,2025-01-01 12:15:00,187.6312,50.4445877,,183.621109,11.0488806,40.3766937,182.763367,2.28436971,45.63733,35.5189934,187.438278,123.113235,41.6419563
46,2025-01-01 12:30:00,187.981628,50.61669,,183.364563,14.3045645,40.1255531,183.137863,2.41390467,45.1892242,35.9488068,185.567841,122.8129,41.41698
47,2025-01-01 12:45:00,189.40625,51.22724,,183.652161,10.544939,40.62853,182.784821,2.51089787,43.48843,35.77591,187.725021,124.886246,41.6294479
48,2025-01-01 13:00:00,187.4812,50.9373436,,183.639374,8.906249,40.5821342,180.0778,2.416661,45.2002563,34.8570328,184.961441,123.897537,41.2048836
49,2025-01-01 13:15:00,188.75354,51.7217941,,183.795486,8.333006,41.18227,179.2551,2.214203,41.9385338,35.2036552,185.9677,125.030319,41.3742142
50,2025-01-01 13:30:00,187.038651,50.24674,,183.6601,8.803729,41.5900154,183.641312,8.939619e-17,49.47148,35.528904,186.2516,123.564529,41.5221977
51,2025-01-01 13:45:00,186.49472,49.59404,,183.545578,10.1178875,41.3735237,181.751984,8.939619e-17,47.7441826,35.9489,185.527039,123.546349,41.47917
52,2025-01-01 14:00:00,186.414841,49.86444,,183.412552,12.1850071,41.3665237,181.06308,8.939619e-17,46.8215828,35.6429367,186.618286,124.242424,41.45814
53,2025-01-01 14:15:00,186.034927,49.8142357,,183.694763,16.0311165,41.3717,180.742249,8.939619e-17,44.41707,35.7263832,185.6335,124.944527,41.4723778
54,2025-01-01 14:30:00,186.461243,49.9863,,183.578751,17.4380779,41.6003075,180.644928,8.939619e-17,45.27972,35.478714,185.6918,124.786,41.3931351
55,2025-01-01 14:45:00,187.327148,50.20063,,183.411621,7.4268527,41.6745377,181.2636,8.939619e-17,43.85516,36.0437546,186.044846,124.456833,41.5038757
56,2025-01-01 15:00:00,189.0405,51.1675949,,183.661926,11.7679777,41.6155128,180.435654,8.939619e-17,43.34651,35.774292,186.018784,123.068771,41.5829773
57,2025-01-01 15:15:00,188.855743,50.5703239,,183.966553,11.0511789,41.8935738,180.954285,8.939619e-17,42.8502541,36.07291,186.240143,122.009163,41.4156036
