,Date,Admission_HP_GTA_JFC1,Soutirage_BP_GTA_JFC1,Prod_EE_GTA_JFC1
23497,2025-09-02 20:15:00,188.192245,52.5351143,41.1950455
23498,2025-09-02 20:30:00,187.997589,51.7505569,41.09297
23499,2025-09-02 20:45:00,188.149933,52.4363976,41.35112
23500,2025-09-02 21:00:00,188.640274,52.11369,41.0731
23501,2025-09-02 21:15:00,188.602921,51.9352722,41.2224274
23502,2025-09-02 21:30:00,187.204529,52.6109,40.953968
23503,2025-09-02 21:45:00,188.778152,52.956398,41.42131
23504,2025-09-02 22:00:00,188.744919,52.9377861,40.9651527
23505,2025-09-02 22:15:00,188.302353,53.1348267,41.1986847
23506,2025-09-02 22:30:00,189.304245,52.5614243,41.3247871
23507,2025-09-02 22:45:00,187.999832,52.49403,41.24768
23508,2025-09-02 23:00:00,187.441513,51.5125351,41.34743
23509,2025-09-02 23:15:00,188.517029,52.0151749,41.3931046
23510,2025-09-02 23:30:00,188.181244,52.04431,41.2403679
23511,2025-09-02 23:45:00,188.796234,52.62297,41.02689
23512,2025-09-03 00:00:00,188.651672,53.4221268,41.17905
23513,2025-09-03 00:15:00,189.066925,54.5704,40.9607964
23514,2025-09-03 00:30:00,186.40094,51.1256256,40.73825
23515,2025-09-03 00:45:00,186.273422,51.80747,40.98243
23516,2025-09-03 01:00:00,186.110229,51.54883,40.76551
23517,2025-09-03 01:15:00,186.539124,51.7758331,40.88567
23518,2025-09-03 01:30:00,186.745178,51.1494179,40.9936676
23519,2025-09-03 01:45:00,187.239182,51.883255,40.52584
23520,2025-09-03 02:00:00,186.619522,50.5918159,40.9487839
23521,2025-09-03 02:15:00,186.816162,51.2463074,40.7390976
23522,2025-09-03 02:30:00,186.4963,51.8465576,40.85376
23523,2025-09-03 02:45:00,187.438934,51.2633476,41.1930275
23524,2025-09-03 03:00:00,186.322754,50.89504,41.1656761
23525,2025-09-03 03:15:00,186.110168,51.1841927,41.11511
23526,2025-09-03 03:30:00,186.02504,51.78466,40.89314
23527,2025-09-03 03:45:00,186.400421,51.5591621,41.22972
23528,2025-09-03 04:00:00,187.157715,51.6117554,41.0514641
23529,2025-09-03 04:15:00,186.469955,51.4270325,40.895916
23530,2025-09-03 04:30:00,185.976761,51.27986,40.7212753
23531,2025-09-03 04:45:00,186.3744,51.46553,40.83037
23532,2025-09-03 05:00:00,186.893951,51.37408,40.755043
23533,2025-09-03 05:15:00,186.77597,51.6761169,41.175354
23534,2025-09-03 05:30:00,186.76239,51.1230125,40.6492348
23535,2025-09-03 05:45:00,187.0974,51.8837242,40.506
23536,2025-09-03 06:00:00,186.8087,51.30184,40.6773224
23537,2025-09-03 06:15:00,186.374466,51.9620819,40.98548
23538,2025-09-03 06:30:00,186.412491,51.06119,40.9615669
23539,2025-09-03 06:45:00,187.520645,51.4742851,41.04711
23540,2025-09-03 07:00:00,187.718811,50.3939171,41.3526
23541,2025-09-03 07:15:00,187.92627,51.2243729,41.235424
23542,2025-09-03 07:30:00,187.577728,51.2332039,41.2299652
23543,2025-09-03 07:45:00,187.483353,50.71201,41.46749
23544,2025-09-03 08:00:00,187.982834,49.946228,41.2964134
